week,rank,title,author,isbn13,publisher,description,amazon_url
2026-01-11,1,THE CORRESPONDENT,Virginia Evans,9780593798430,Crown,Letters from someone she used to know push Sybil Van Antwerp toward revisiting her past and finding a way to forgive.,https://www.amazon.com/dp/0593798430?tag=thenewyorktim-20
2026-01-11,2,THE WIDOW,John Grisham,9780385548984,Doubleday,"When Simon Latch, a lawyer in rural Virginia, is accused of murder, he goes in search of the real killer.",https://www.amazon.com/dp/0385548982?tag=thenewyorktim-20
2026-01-11,3,THE SECRET OF SECRETS,Dan Brown,9780385546898,Doubleday,"As he searches for the missing noetic scientist he has been seeing, Robert Langdon discovers something regarding a secret project.",https://www.amazon.com/dp/0385546890?tag=thenewyorktim-20
2026-01-11,4,MONA'S EYES,Thomas Schlesser,9798889661115,Europa,A 10-year-old who may get permanent vision loss is bolstered by her grandfather’s quest to bring beauty into her life; translated by Hildegarde Serle.,https://www.amazon.com/dp/B0DTTH6GBV?tag=thenewyorktim-20
2026-01-11,5,ALCHEMISED,SenLinYu,9780593972700,Del Rey,"After the war, an imprisoned alchemist is sent to a necromancer to recover her lost memories.",https://www.amazon.com/dp/0593972708?tag=thenewyorktim-20
2026-01-11,6,BRIMSTONE,Callie Hart,9781538774229,Forever,"The second book in the Fae & Alchemy series. To save those close to them, Saeris and Fisher face a new set of dangers.",https://www.amazon.com/dp/1538774224?tag=thenewyorktim-20
2026-01-11,7,THE INTRUDER,Freida McFadden,9781464260919,Poisoned Pen,"During a rough storm, Casey puts herself in danger when she lets a girl, who is covered in blood, into her cabin.",https://www.amazon.com/dp/1464260915?tag=thenewyorktim-20
2026-01-11,8,DUNGEON CRAWLER CARL,Matt Dinniman,9780593820247,Ace,"A Coast Guard vet named Carl and his ex-girlfriend’s cat, Princess Donut, are trapped in a fantasy dungeon.",https://www.amazon.com/dp/B08V8877BY?tag=thenewyorktim-20
2026-01-11,9,RETURN OF THE SPIDER,James Patterson,9780316569569,"Little, Brown",The 34th book in the Alex Cross series. An enemy’s murder book suggests Cross may have made rookie mistakes years ago.,https://www.amazon.com/dp/0316569569?tag=thenewyorktim-20
2026-01-11,10,QUICKSILVER,Callie Hart,9781538774205,Forever,"Saeris is transported to a dangerous land of ice and snow, where she must contend with a Fae warrior who has suspect agendas.",https://www.amazon.com/dp/1538774208?tag=thenewyorktim-20
2026-01-11,11,GONE BEFORE GOODBYE,Reese Witherspoon and Harlan Coben,9781538774700,Grand Central,"When a mysterious man disappears, the former combat surgeon giving him medical assistance goes on the lam.",https://www.amazon.com/dp/1538774704?tag=thenewyorktim-20
2026-01-11,12,TWICE,Mitch Albom,9780062406682,Harper,"Alfie Logan, who was gifted with the ability to live any moment a second time but must accept the outcomes, makes a risky love decision.",https://www.amazon.com/dp/006240668X?tag=thenewyorktim-20
2026-01-11,13,FOURTH WING,Rebecca Yarros,9781649379290,Red Tower,"Violet Sorrengail is urged by the commanding general, who also is her mother, to become a candidate for the elite dragon riders.",https://www.amazon.com/dp/1649379293?tag=thenewyorktim-20
2026-01-11,14,REMAIN,Nicholas Sparks with M. Night Shyamalan,9798217154043,Random House,"A New York architect moves to Cape Cod, where he enters a relationship that brings up a lot of questions.",https://www.amazon.com/dp/B0DZ5FPM6L?tag=thenewyorktim-20
2026-01-11,15,NASH FALLS,David Baldacci,9781538757987,Grand Central,A successful businessman’s life is turned upside down when he is recruited by the F.B.I. to stop a large money laundering scheme.,https://www.amazon.com/dp/1538757982?tag=thenewyorktim-20
